numVotes,Frequency,AverageRating
5,81495,6.931846125529162
6,71193,6.9215709409632815
7,59238,6.88605455957337
8,48710,6.881820981317952
9,41580,6.88809283309287
10,36399,6.8564328690349035
11,31703,6.876030659559113
12,28536,6.868695682646451
13,24834,6.862970121607502
14,22014,6.8796220586899235
15,19911,6.8875144392546686
16,18216,6.891545893719812
17,16862,6.891122049578936
18,15028,6.890271493212659
19,14128,6.887542468856169
20,13225,6.895206049149351
21,12393,6.909021221657292
22,11231,6.904362924049446
23,11076,6.89516070783672
24,10005,6.854592703648168
25,9466,6.901764208747106
26,8690,6.898596087456872
27,8254,6.900096922704153
28,7846,6.886145806780486
29,7281,6.863878588106026
30,6984,6.874298396334488
31,6722,6.89223445403156
32,6358,6.908854985844595
33,5957,6.9158972637233544
34,6014,6.93734619221815
35,6047,7.070530841739741
36,5646,6.930021253985149
37,5405,6.918334875115608
38,5374,7.001135094901332
39,4911,6.930054978619414
40,4649,6.925532372553243
41,4537,6.924355300859602
42,4577,6.962311557788946
43,4293,6.900093174935926
44,4176,6.90749521072798
45,4129,6.9032211189150035
46,3925,6.929248407643316
47,3838,6.936347055758199
48,3729,6.942719227674964
49,3687,6.898996474098182
50,3444,6.9304006968641225
51,3326,6.8742333132892375
52,3307,6.892772905957057
53,3175,6.918960629921261
54,3164,6.9417825537294515
55,3018,6.8899933730947645
56,2932,6.9670532060027215
57,2851,6.909119607155382
58,2791,6.905123611608736
59,2643,6.9145667801740425
60,2624,6.925304878048787
61,2565,6.927368421052638
62,2566,6.92618862042088
63,2564,6.892394695787821
64,2350,6.968808510638302
65,2386,6.955867560771165
66,2367,6.90553443177017
67,2267,6.913939126599013
68,2145,6.936177156177154
69,2187,6.912437128486515
70,2186,6.92246111619397
71,2099,6.947737017627438
72,2024,6.922826086956535
73,2010,6.921542288557197
74,1960,6.909438775510207
75,1968,6.9431402439024446
76,1927,6.924390243902428
77,1795,6.91961002785515
78,1829,6.926899945325317
79,1712,6.892114485981307
80,1711,6.9202220923436535
81,1665,6.971171171171174
82,1641,6.9594759293114015
83,1671,6.9386594853381185
84,1568,6.956313775510202
85,1616,6.964913366336636
86,1564,6.9549232736572995
87,1511,6.8769688947716725
88,1479,6.9671399594320444
89,1448,7.00801104972376
90,1404,6.980698005698013
91,1454,7.0009628610729004
92,1407,6.902771855010665
93,1343,6.935219657483242
94,1339,6.972218073188946
95,1331,7.003606311044323
96,1327,6.962622456669189
97,1242,6.925764895330122
98,1265,6.981343873517786
99,1232,6.9777597402597475
100,1332,6.721321321321322
101,1299,6.788529638183213
102,1221,6.74471744471745
103,1183,6.7283178360101425
104,1181,6.677561388653678
105,1193,6.710058675607714
106,1102,6.673502722323052
107,1191,6.8146095717884085
108,1115,6.731210762331846
109,1164,6.745189003436425
110,1102,6.764246823956444
111,1104,6.770652173913041
112,1042,6.759021113243767
113,1029,6.662390670553939
114,995,6.705427135678378
115,1023,6.722091886608012
116,1003,6.6885343968095805
117,1015,6.725024630541875
118,935,6.674117647058821
119,1005,6.790248756218907
120,952,6.6339285714285765
121,946,6.676109936575052
122,929,6.660710441334767
123,922,6.777006507592195
124,933,6.676848874598071
125,883,6.746319365798416
126,878,6.7006833712984015
127,887,6.7454340473506145
128,882,6.740929705215415
129,878,6.725284738040997
130,817,6.6014687882496945
131,841,6.683947681331744
132,815,6.634723926380367
133,815,6.709570552147238
134,811,6.7016029593094935
135,754,6.757957559681695
136,773,6.650064683053041
137,811,6.794574599260161
138,815,6.791656441717789
139,787,6.68665819567979
140,769,6.659297789336801
141,742,6.727493261455534
142,749,6.72256341789052
143,756,6.69748677248677
144,754,6.761007957559677
145,718,6.804038997214486
146,740,6.67297297297297
147,707,6.755869872701555
148,686,6.697230320699712
149,772,6.899740932642482
150,714,6.738235294117648
151,692,6.748699421965323
152,751,6.805326231691072
153,723,6.643430152143844
154,689,6.78955007256894
155,659,6.757511380880114
156,667,6.676911544227885
157,702,6.719373219373216
158,701,6.754065620542077
159,658,6.78343465045593
160,711,6.656821378340368
161,687,6.790393013100435
162,680,6.764411764705874
163,635,6.820000000000003
164,675,6.7900740740740675
165,657,6.803805175038054
166,623,6.8454253611556934
167,619,6.736672051696284
168,640,6.809843749999999
169,642,6.7604361370716575
170,629,6.879332273449921
171,617,6.75640194489465
172,615,6.7554471544715495
173,601,6.849916805324456
174,635,6.713070866141734
175,590,6.728644067796609
176,571,6.844133099824871
177,617,6.807941653160452
178,562,6.867081850533804
179,565,6.826017699115041
180,590,6.8454237288135635
181,621,6.775040257648955
182,535,6.722616822429905
183,598,6.787959866220738
184,511,6.889236790606646
185,585,6.788717948717957
186,526,6.872053231939161
187,551,6.774591651542647
188,521,6.6852207293666
189,567,6.812345679012345
190,485,6.8154639175257685
191,518,6.842857142857141
192,533,6.8544090056285185
193,539,6.764007421150272
194,498,6.804216867469884
195,537,6.83091247672254
196,508,6.914173228346458
197,505,6.817821782178214
198,462,6.922510822510822
199,494,6.881376518218624
200,480,6.828750000000003
201,480,6.760416666666666
202,502,6.801195219123506
203,494,6.899392712550603
204,465,6.7486021505376295
205,487,6.856262833675556
206,498,6.790562248995986
207,468,6.843803418803414
208,443,6.946049661399552
209,452,6.861061946902649
210,443,6.893002257336346
211,429,6.715850815850816
212,456,6.779605263157896
213,442,6.790271493212664
214,413,6.719128329297826
215,442,6.760859728506786
216,440,6.799090909090906
217,402,6.816169154228849
218,392,6.688010204081634
219,368,6.828532608695654
220,385,6.754285714285717
221,405,6.741975308641979
222,420,6.6876190476190445
223,410,6.763414634146347
224,420,6.855714285714281
225,429,6.7146853146853145
226,406,6.749507389162562
227,386,6.873575129533679
228,403,6.724317617866004
229,395,6.7367088607594905
230,389,6.760154241645242
231,391,6.73631713554987
232,403,6.775186104218359
233,338,6.72218934911242
234,401,6.665586034912713
235,390,6.746153846153847
236,362,6.6707182320442
237,387,6.702842377260976
238,389,6.750899742930592
239,363,6.622589531680443
240,363,6.7738292011019245
241,364,6.74505494505494
242,351,6.806267806267804
243,357,6.695518207282919
244,383,6.7404699738903355
245,366,6.825683060109287
246,373,6.855495978552276
247,331,6.670694864048335
248,354,6.75847457627119
249,353,6.765155807365436
250,278,7.036330935251799
251,331,6.772507552870097
252,349,6.804584527220631
253,333,6.582282282282285
254,373,6.788739946380689
255,303,6.675577557755772
256,352,6.77215909090909
257,342,6.70233918128655
258,321,6.7588785046728965
259,333,6.73843843843844
260,326,6.90184049079755
261,317,6.784227129337538
262,317,6.8492113564668795
263,333,6.917717717717716
264,328,6.807317073170728
265,296,6.884797297297303
266,295,6.82813559322034
267,314,6.930891719745223
268,322,6.881987577639749
269,297,6.805050505050502
270,307,6.7811074918566785
271,304,6.861184210526315
272,299,6.923411371237458
273,286,6.654195804195805
