numVotes,Frequency,AverageRating
179,565,3856.699999999998
180,590,4038.8000000000025
181,621,4207.300000000001
182,535,3596.599999999999
183,598,4059.200000000001
184,511,3520.3999999999965
185,585,3971.4000000000046
186,526,3614.699999999999
187,551,3732.799999999999
188,521,3482.9999999999986
189,567,3862.5999999999995
190,485,3305.4999999999977
191,518,3544.599999999999
192,533,3653.4000000000005
193,539,3645.799999999997
194,498,3388.5000000000023
195,537,3668.200000000004
196,508,3512.4000000000005
197,505,3442.999999999998
198,462,3198.2
199,494,3399.4
200,480,3277.8000000000015
201,480,3244.9999999999995
202,502,3414.2
203,494,3408.299999999998
204,465,3138.0999999999976
205,487,3338.999999999996
206,498,3381.700000000001
207,468,3202.8999999999974
208,443,3077.1000000000017
209,452,3101.1999999999975
210,443,3053.6000000000013
211,429,2881.1
212,456,3091.5000000000005
213,442,3001.2999999999975
214,413,2775.0000000000023
215,442,2988.2999999999997
216,440,2991.5999999999985
217,402,2740.099999999997
218,392,2621.7000000000003
219,368,2512.9000000000005
220,385,2600.400000000001
221,405,2730.5000000000014
222,420,2808.799999999999
223,410,2773.0000000000023
224,420,2879.3999999999983
225,429,2880.6
226,406,2740.3
227,386,2653.2
228,403,2709.8999999999996
229,395,2660.9999999999986
230,389,2629.699999999999
231,391,2633.899999999999
232,403,2730.3999999999987
233,338,2272.099999999998
234,401,2672.899999999998
235,390,2631.0000000000005
236,362,2414.8
237,387,2593.9999999999977
238,389,2626.1000000000004
239,363,2404.000000000001
240,363,2458.8999999999987
241,364,2455.199999999998
242,351,2388.999999999999
243,357,2390.300000000002
244,383,2581.5999999999985
245,366,2498.199999999999
246,373,2557.099999999999
247,331,2207.999999999999
248,354,2392.5000000000014
249,353,2388.099999999999
250,278,1956.1000000000001
251,331,2241.700000000002
252,349,2374.8
253,333,2191.900000000001
254,373,2532.199999999997
255,303,2022.699999999999
256,352,2383.7999999999997
257,342,2292.2
258,321,2169.6
259,333,2243.9000000000005
260,326,2250.0000000000014
261,317,2150.5999999999995
262,317,2171.2000000000007
263,333,2303.5999999999995
264,328,2232.799999999999
265,296,2037.9000000000017
266,295,2014.3000000000002
267,314,2176.3
268,322,2215.999999999999
269,297,2021.0999999999992
270,307,2081.8
271,304,2085.7999999999997
272,299,2070.1
273,286,1903.1000000000001
274,299,2019.3000000000004
275,302,2023.2000000000007
276,282,1903.4999999999998
277,292,2014.4999999999998
278,269,1861.1999999999994
279,288,1974.699999999999
280,277,1892.6000000000001
281,283,1957.3000000000006
282,288,1962.7000000000005
283,281,1914.6999999999998
284,310,2100.700000000001
285,259,1770.6999999999994
286,269,1824.6999999999998
287,254,1696.3000000000004
288,288,1954.7000000000003
289,273,1848.0000000000014
290,292,1971.6999999999996
291,271,1816.700000000001
292,251,1682.999999999999
293,278,1912.5
294,299,2035.2000000000007
295,273,1829.7000000000005
296,271,1864.6
297,263,1740.2999999999997
298,295,2000.8999999999992
299,242,1654.3000000000006
300,206,1386.6999999999996
301,233,1550.2000000000003
302,243,1644.2000000000007
303,268,1829.3
304,229,1517.0
305,230,1525.5
306,255,1724.1000000000001
307,254,1719.8000000000002
308,221,1514.600000000001
309,249,1713.8000000000006
310,281,1870.4000000000003
311,211,1408.1999999999998
312,237,1568.8000000000018
313,225,1473.3999999999999
314,249,1691.8000000000006
315,237,1644.8000000000002
316,234,1596.4
317,244,1637.5999999999997
318,223,1535.5999999999995
319,230,1539.3
320,234,1572.7000000000012
321,220,1511.4999999999995
322,244,1643.8999999999994
323,240,1570.9999999999993
324,212,1399.1999999999998
325,205,1389.2000000000007
326,235,1599.3000000000002
327,227,1535.3000000000006
328,201,1337.4999999999998
329,213,1434.7000000000007
330,240,1598.1000000000006
331,208,1404.500000000001
332,215,1443.8000000000004
333,200,1366.3999999999994
334,236,1595.7000000000003
335,198,1325.3999999999999
336,195,1323.4999999999998
337,242,1637.6
338,200,1358.9
339,225,1512.1999999999998
340,216,1447.3999999999983
341,203,1393.0999999999995
342,191,1307.6999999999996
343,187,1278.4000000000008
344,228,1548.2
345,225,1483.6000000000008
346,220,1481.1999999999994
347,220,1490.3
348,185,1263.299999999999
349,214,1446.8000000000002
350,220,1448.9999999999995
